Date,Close,High,Low,Open,Volume,BTC-INR
2020-08-15,888203.3125,895502.0,880942.3125,880942.3125,1748225859510,BTC-INR
2020-08-16,890807.1875,893383.4375,878583.75,888277.1875,1541757377092,BTC-INR
2020-08-17,915978.5625,923830.75,883527.0625,891020.9375,2109932099421,BTC-INR
2020-08-18,894266.0,922063.25,892194.375,915791.25,1942216674956,BTC-INR
2020-08-19,881539.6875,897081.625,876323.25,894240.0,1837022853393,BTC-INR
2020-08-20,890749.0,892342.1875,878565.0625,881780.8125,1512924319465,BTC-INR
2020-08-21,868617.0625,892505.75,866555.8125,890723.125,1780501946403,BTC-INR
2020-08-22,875311.0,875879.125,857851.0,868091.75,1515384497622,BTC-INR
2020-08-23,873954.3125,877679.125,866176.8125,875151.4375,1384714041033,BTC-INR
2020-08-24,873601.4375,875105.5,870837.75,873867.5625,1534438912741,BTC-INR
2020-08-25,843803.6875,873591.0625,830927.5625,873526.75,1952582014930,BTC-INR
2020-08-26,853137.9375,856043.6875,838498.4375,843860.0625,1668397832707,BTC-INR
2020-08-27,835375.125,855094.4375,826108.625,852933.3125,1714544191919,BTC-INR
2020-08-28,844085.6875,844313.5625,837245.6875,835515.1875,1448465529783,BTC-INR
2020-08-29,841479.8125,847240.5,838512.8125,843980.0,1278695535729,BTC-INR
2020-08-30,856445.4375,856720.3125,840420.625,841615.0,1445029504408,BTC-INR
2020-08-31,857813.75,863236.4375,853660.75,856577.125,1636629541661,BTC-INR
2020-09-01,874639.1875,881649.3125,852007.75,857703.3125,1995555661744,BTC-INR
2020-09-02,836109.375,874225.9375,827301.8125,874225.9375,2053817012968,BTC-INR
2020-09-03,752531.375,838189.375,747916.3125,835608.125,2345102059364,BTC-INR
2020-09-04,769950.4375,780135.0625,748254.3125,751434.625,2194831932382,BTC-INR
2020-09-05,744882.125,775059.875,728556.1875,770002.875,3289967724658,BTC-INR
2020-09-06,753452.625,758517.0,736628.6875,744710.0,2716987594276,BTC-INR
2020-09-07,761595.1875,764267.625,728510.75,753499.9375,2475332488446,BTC-INR
2020-09-08,747574.6875,768096.375,734651.8125,761576.3125,2466769382478,BTC-INR
2020-09-09,751046.25,759233.0,738947.5625,747769.125,1769268593396,BTC-INR
2020-09-10,762048.75,770357.4375,750737.4375,751045.0,4000753318586,BTC-INR
2020-09-11,764222.8125,766641.25,745097.875,762481.8125,3321220224084,BTC-INR
2020-09-12,767254.125,777296.0,756248.5625,764880.1875,2700267056463,BTC-INR
2020-09-13,758577.6875,777176.75,751248.0,768005.6875,2682481414050,BTC-INR
2020-09-14,783969.75,792928.1875,754339.6875,758943.4375,2602280505622,BTC-INR
2020-09-15,794767.375,805171.375,784334.625,783743.5,2393032232039,BTC-INR
2020-09-16,807217.4375,815449.0,787992.4375,794827.0625,2263169427714,BTC-INR
2020-09-17,805666.625,812299.5625,793557.125,807095.875,2807349510546,BTC-INR
2020-09-18,805632.625,810188.4375,796956.625,805874.875,1939031498276,BTC-INR
2020-09-19,816656.5,819582.25,803058.625,804835.1875,1675676471628,BTC-INR
2020-09-20,804346.375,816768.625,796055.25,816768.625,1816280864904,BTC-INR
2020-09-21,769813.625,806349.1875,764050.5,804100.375,2125359717484,BTC-INR
2020-09-22,774611.125,776882.5625,764245.6875,769619.6875,1736278221617,BTC-INR
2020-09-23,755983.125,774563.5625,752378.125,774392.9375,1755172671003,BTC-INR
2020-09-24,795464.8125,793664.1875,754612.3125,756174.9375,3485266219109,BTC-INR
2020-09-25,788047.9375,794052.125,780463.0625,795541.9375,2899971479263,BTC-INR
